Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 1 (283),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 1 (283),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 1 (283),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 1 (283),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 1 (283),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 1 (283),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 5 (287),,,,
,,,,,,,,,,RACE 8 (290),,,,
,,,,,,,,,,RACE 10 (292),,,,
,,,,,,,,,,RACE 7 (289),,,,
,,,,,,,,,,RACE 4 (286),,,,
,,,,,,,,,,RACE 6 (288),,,,
,,,,,,,,,,RACE 9 (291),,,,
,,,,,,,,,,RACE 2 (284),,,,
,,,,,,,,,,RACE 1 (283),,,,
,,,,,,,,,,RACE 3 (285),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 2 (284),,,,
,,,,,,,,,,RACE 6 (288),,,,
,,,,,,,,,,RACE 9 (291),,,,
,,,,,,,,,,RACE 3 (285),,,,
,,,,,,,,,,RACE 10 (292),,,,
,,,,,,,,,,RACE 7 (289),,,,
,,,,,,,,,,RACE 5 (287),,,,
,,,,,,,,,,RACE 1 (283),,,,
,,,,,,,,,,RACE 4 (286),,,,
,,,,,,,,,,RACE 8 (290),,,,
Trainer,FinishTime,Draw,Jockey,HorseCode,LBW,RaceNo,RunningPosition,Horse,ActualWt,RaceNoIndex,Place,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,,,,RACE 10 (292),,,,
,,,,,,,,,,RACE 4 (286),,,,
,,,,,,,,,,RACE 8 (290),,,,
,,,,,,,,,,RACE 3 (285),,,,
,,,,,,,,,,RACE 7 (289),,,,
,,,,,,,,,,RACE 9 (291),,,,
,,,,,,,,,,RACE 6 (288),,,,
,,,,,,,,,,RACE 5 (287),,,,
,,,,,,,,,,RACE 2 (284),,,,
,,,,,,,,,,RACE 1 (283),,,,
FinishTime,Horse,Jockey,HorseCode,RaceNo,image_urls,ActualWt,RaceNoIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,DeclarHorseWt
,,,,,,,RACE 2 (284),,,,,,,,,
,,,,,,,RACE 9 (291),,,,,,,,,
,,,,,,,RACE 10 (292),,,,,,,,,
,,,,,,,RACE 3 (285),,,,,,,,,
,,,,,,,RACE 6 (288),,,,,,,,,
,,,,,,,RACE 8 (290),,,,,,,,,
,,,,,,,RACE 5 (287),,,,,,,,,
,,,,,,,RACE 4 (286),,,,,,,,,
,,,,,,,RACE 1 (283),,,,,,,,,
,,,,,,,RACE 7 (289),,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,RaceNumber,DeclarHorseWt
,,,,,,, (281),,,,,,,,,10,
,,,,,,, (274),,,,,,,,,3,
,,,,,,, (278),,,,,,,,,7,
,,,,,,, (276),,,,,,,,,5,
,,,,,,, (277),,,,,,,,,6,
,,,,,,, (280),,,,,,,,,9,
,,,,,,, (275),,,,,,,,,4,
,,,,,,, (279),,,,,,,,,8,
,,,,,,, (273),,,,,,,,,2,
,,,,,,, (272),,,,,,,,,1,
,,,,,,, (282),,,,,,,,,11,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,RaceNumber,DeclarHorseWt
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R9_S.jpg,, (280),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R9_S.jpg', 'path': 'full/649959aa5db493b8c44a0e9db40ed3ea0cbc23fa.jpg', 'checksum': 'f38eec6aba0874b31c3fea7fb3951879'}]",,,,,,,9,
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R11_S.jpg,, (282),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R11_S.jpg', 'path': 'full/133cd147c1d7d8aa7dbcc5f896c1707935f06966.jpg', 'checksum': '5306f061cbe6313df0d88f00e359b674'}]",,,,,,,11,
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R8_S.jpg,, (279),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R8_S.jpg', 'path': 'full/a3af8aa2045a559d4a39e3718b315de871e4463f.jpg', 'checksum': 'b4ac728a49523eaa1c3df260aa69b391'}]",,,,,,,8,
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R5_S.jpg,, (276),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R5_S.jpg', 'path': 'full/c57d9bf37cd8c9c40afe5bbb9e40f0a0500260b2.jpg', 'checksum': '90d0ed100ca126ecb4c61a3d459d54aa'}]",,,,,,,5,
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R10_S.jpg,, (281),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R10_S.jpg', 'path': 'full/a145740a2b09571ccfca4e970b27ad90cb8b333f.jpg', 'checksum': '7c95a0338ba70c53cd9b54867b2fdab3'}]",,,,,,,10,
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R7_S.jpg,, (278),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R7_S.jpg', 'path': 'full/9c9b2a17bdb5952b82321b5030ec30020e25e0c0.jpg', 'checksum': '93fe03e1a527c19b5d0921d238e337ba'}]",,,,,,,7,
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R4_S.jpg,, (275),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R4_S.jpg', 'path': 'full/8b60b31f765742a36943acbb4b85075c2c4f3ead.jpg', 'checksum': '7d57f958f947f199090f6becf79621f3'}]",,,,,,,4,
,,,,,http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R3_S.jpg,, (274),,"[{'url': 'http://racing.hkjc.com/racing/content/Images/RaceResult/20150101R3_S.jpg', 'path': 'full/4cf34f17707fd442e029537a0260c08456d6c6c4.jpg', 'checksum': '37751553d34aeb4db8b534faac363295'}]",,,,,,,3,
